Unsaved report
All time
Exclusion,Placement url,Type
slovenskenovice.si,http://slovenskenovice.si,Site
celjskiglasnik.si,http://celjskiglasnik.si,Site
nova24tv.si,http://nova24tv.si,Site
mojepodravje.si,http://mojepodravje.si,Site
ljudskiglas.si,http://ljudskiglas.si,Site
gorenjski-utrip.si,http://gorenjski-utrip.si,Site
zaupokojence.si,http://zaupokojence.si,Site
e-maribor.si,http://e-maribor.si,Site
rodoljub.si,http://rodoljub.si,Site
skandal24.si,http://skandal24.si,Site
sasa-novice.si,http://sasa-novice.si,Site
popoteh.si,http://popoteh.si,Site
insajder.com,http://insajder.com,Site
spodnjepodravje.si,http://spodnjepodravje.si,Site
moja-dolenjska.si,http://moja-dolenjska.si,Site
kulturnimarksizem.si,http://kulturnimarksizem.si,Site
utrip-ljubljane.si,http://utrip-ljubljane.si,Site
pozareport.si,http://pozareport.si,Site
go-portal.si,http://go-portal.si,Site
notranjska.si,http://notranjska.si,Site
kuloar.si,http://kuloar.si,Site
portal-os.si,http://portal-os.si,Site
demokracija.si,http://demokracija.si,Site
primorska24.si,http://primorska24.si,Site
slosolar.si,http://slosolar.si,Site
reporter.si,http://reporter.si,Site
siol.net,http://siol.net,Site
nase-zasavje.si,http://nase-zasavje.si,Site
mojeposavje.si,http://mojeposavje.si,Site
vsenovice.info,http://vsenovice.info,Site
e-koroska.si,http://e-koroska.si,Site
blagovest.si,http://blagovest.si,Site
pomurske-novice.si,http://pomurske-novice.si,Site
